番号,名称,所在地,所在地2,併設,備蓄倉庫,防災用簡易井戸,耐震性井戸付貯水,耐震性貯水槽,広域避難場所
69,戸張地区公園,戸張994-2,千葉県柏市戸張994-2,,FALSE,FALSE,FALSE,FALSE,FALSE
70,北千葉導水ビジターセンター（北千葉第二機場）,戸張新田26,千葉県柏市戸張新田26,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
71,柏市中央公民館,柏5-8-12,千葉県柏市柏5-8-12,,FALSE,FALSE,FALSE,FALSE,FALSE
72,柏市民文化会館,柏下107,千葉県柏市柏下107,,FALSE,FALSE,FALSE,FALSE,FALSE
73,柏市中央体育館,柏下73,千葉県柏市柏下73,,FALSE,FALSE,FALSE,FALSE,FALSE
74,アミュゼ柏,柏6-2-22,千葉県柏市柏6-2-22,,FALSE,FALSE,FALSE,FALSE,FALSE
75,柏第二小学校,豊四季310,千葉県柏市豊四季310,耐震性井戸付貯水装置,FALSE,FALSE,TRUE,FALSE,FALSE
76,豊四季中学校,豊四季287-7,千葉県柏市豊四季287-7,,FALSE,FALSE,FALSE,FALSE,FALSE
77,豊四季庚塚緑地,豊四季224-3,千葉県柏市豊四季224-3,,FALSE,FALSE,FALSE,FALSE,FALSE
78,県立東葛飾高等学校,旭町3-2-1,千葉県柏市旭町3-2-1,,FALSE,FALSE,FALSE,FALSE,FALSE
79,気象大学校,旭町7-4-81,千葉県柏市旭町7-4-81,,FALSE,FALSE,FALSE,FALSE,FALSE
80,旭東小学校,旭町5-3-9,千葉県柏市旭町5-3-9,防災用簡易井戸,FALSE,TRUE,FALSE,FALSE,FALSE
81,旭小学校,旭町6-5-17,千葉県柏市旭町6-5-17,耐震性井戸付貯水装置,FALSE,FALSE,TRUE,FALSE,FALSE
82,柏第二中学校,弥生町6-6,千葉県柏市弥生町6-6,,FALSE,FALSE,FALSE,FALSE,FALSE
83,関場町ゲートボール場,関場町842-2,千葉県柏市関場町842-2,防災備蓄倉庫 耐震性井戸付貯水装置,TRUE,FALSE,TRUE,FALSE,FALSE
84,豊小学校,豊四季610-2,千葉県柏市豊四季610-2,防災用簡易井戸,FALSE,TRUE,FALSE,FALSE,FALSE
85,柏第三小学校,若葉町4-54,千葉県柏市若葉町4-54,防災備蓄倉庫 耐震性井戸付貯水装置,TRUE,FALSE,TRUE,FALSE,FALSE
86,柏第八小学校,永楽台2-8-1,千葉県柏市永楽台2-8-1,防災備蓄倉庫（教室） 防災用簡易井戸,TRUE,TRUE,FALSE,FALSE,FALSE
87,柏第四中学校,名戸ヶ谷1-6-8,千葉県柏市名戸ヶ谷1-6-8,耐震性貯水装置,FALSE,FALSE,FALSE,TRUE,FALSE
88,永楽台近隣公園,永楽台2-11,千葉県柏市永楽台2-11,,FALSE,FALSE,FALSE,FALSE,FALSE
89,日立台公園,日立台1-2,千葉県柏市日立台1-2,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
90,名戸ケ谷小学校,名戸ケ谷474-1,千葉県柏市名戸ケ谷474-1,防災備蓄倉庫（教室）,TRUE,FALSE,FALSE,FALSE,FALSE
91,土中学校,増尾1-23-1,千葉県柏市増尾1-23-1,,FALSE,FALSE,FALSE,FALSE,FALSE
92,土小学校,増尾4-4-1,千葉県柏市増尾4-4-1,防災備蓄倉庫（教室） 防災用簡易井戸,TRUE,TRUE,FALSE,FALSE,FALSE
93,県立柏南高等学校,増尾1705,千葉県柏市増尾1705,,FALSE,FALSE,FALSE,FALSE,FALSE
94,芝浦工業大学柏中学高等学校,増尾700,千葉県柏市増尾700,,FALSE,FALSE,FALSE,FALSE,FALSE
95,中原小学校,中原1821-1,千葉県柏市中原1821-1,,FALSE,FALSE,FALSE,FALSE,FALSE
96,中原中学校,中原1816-2,千葉県柏市中原1816-2,,FALSE,FALSE,FALSE,FALSE,FALSE
97,増尾西小学校,増尾台3-5-9,千葉県柏市増尾台3-5-9,耐震性井戸付貯水装置,FALSE,FALSE,TRUE,FALSE,FALSE
98,廣池学園,光ケ丘2-1-1,千葉県柏市光ケ丘2-1-1,防災用簡易井戸 防災備蓄倉庫,TRUE,TRUE,FALSE,FALSE,TRUE
99,光ケ丘小学校,流山市向小金4-20-1,千葉県柏市流山市向小金4-20-1,防災備蓄倉庫（教室）,TRUE,FALSE,FALSE,FALSE,FALSE
100,光ケ丘中学校,光ケ丘4-23-1,千葉県柏市光ケ丘4-23-1,耐震性井戸付貯水装置,FALSE,FALSE,TRUE,FALSE,FALSE
101,逆井小学校,逆井452-2,千葉県柏市逆井452-2,防災備蓄倉庫（教室）,TRUE,FALSE,FALSE,FALSE,FALSE
102,逆井中学校,逆井555,千葉県柏市逆井555,,FALSE,FALSE,FALSE,FALSE,FALSE
103,県立柏陵高等学校,逆井444-1,千葉県柏市逆井444-1,,FALSE,FALSE,FALSE,FALSE,FALSE
104,南部中学校,南増尾6-16-1,千葉県柏市南増尾6-16-1,,FALSE,FALSE,FALSE,FALSE,FALSE
105,土南部小学校,新逆井1-10-1,千葉県柏市新逆井1-10-1,防災用簡易井戸,FALSE,TRUE,FALSE,FALSE,FALSE
106,南部公園,新逆井2-5,千葉県柏市新逆井2-5,,FALSE,FALSE,FALSE,FALSE,FALSE
107,並木第二公園,南逆井2-2,千葉県柏市南逆井2-2,耐震性貯水槽,FALSE,FALSE,FALSE,TRUE,FALSE
108,柏リフレッシュ公園リフレッシュプラザ柏,南増尾58-3,千葉県柏市南増尾58-3,防災備蓄倉庫 耐震性貯水槽,TRUE,FALSE,FALSE,TRUE,FALSE
109,藤心小学校,藤心880-1,千葉県柏市藤心880-1,耐震性井戸付貯水装置,FALSE,FALSE,TRUE,FALSE,FALSE
110,酒井根小学校,酒井根19-2,千葉県柏市酒井根19-2,耐震性井戸付貯水装置,FALSE,FALSE,TRUE,FALSE,FALSE
111,酒井根西小学校,酒井根662-1,千葉県柏市酒井根662-1,,FALSE,FALSE,FALSE,FALSE,FALSE
112,酒井根東小学校,酒井根1-2-1,千葉県柏市酒井根1-2-1,,FALSE,FALSE,FALSE,FALSE,FALSE
113,酒井根中学校,酒井根1-3-1,千葉県柏市酒井根1-3-1,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
114,酒井根下田の森緑地,酒井根6-24,千葉県柏市酒井根6-24,,FALSE,FALSE,FALSE,FALSE,FALSE
115,手賀東小学校,手賀479-7,千葉県柏市手賀479-7,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
